"";"DOM";"Auvergne-Rhone-Alpes";"Bourgogne-Franche-Comte";"Bretagne";"Centre-ValdeLoire";"Corse";"Grand-Est";"Hauts-de-France";"Ile-de-France";"Normandie";"Nouvelle-Aquitaine";"Occitanie";"PaysdelaLoire";"Provence-Alpes-Cote-d'Azur"
"X2018.p.";550802;3022364;963625;1211877;903658;108774;1933447;2024168;5937949;1152512;2099289;1991706;1437145;1822456
"X2017.p.";546379;2998833;971694;1202333;908078;106518;1939036;2027672;5860185;1151419;2085155;1974235;1426707;1807636
"X2016";541539;2954646;963237;1178380;901068;105507;1921229;2018749;5760215;1149837;2055637;1945504;1395899;1791045
"X2015";541416;2928783;960037;1167128;896686;104700;1913481;2005582;5722801;1148095;2037701;1915069;1374192;1772871
"X2014";532529;2915434;960817;1158320;896035;103937;1919584;2000289;5695937;1151513;2030148;1897854;1361427;1762507
"X2013";524075;2911376;968067;1155376;900148;103232;1930786;2003218;5682872;1153904;2032592;1889153;1361233;1758643
"X2012";519294;2888870;969800;1152465;902746;102536;1939042;2004290;5654915;1159294;2019688;1876427;1356254;1750789
"X2011";520442;2885179;983567;1156284;908775;101417;1962588;2026079;5654281;1168409;2018067;1873248;1353988;1754196
"X2010";514807;2876699;983110;1150056;913707;100753;1969246;2028803;5619032;1169115;2011849;1866018;1347578;1749333
"X2009";507328;2850812;986659;1140986;912984;98606;1968538;2028341;5625578;1174943;2005890;1861721;1334636;1751480
"X2008";510666;2882793;1004145;1148914;924064;97689;2000596;2055240;5675534;1195400;2020209;1858278;1350866;1752966
"X2007";510412;2907246;1015319;1150633;927394;95031;2027124;2077277;5710301;1208325;2030187;1864461;1354997;1760007
"X2006";501385;2866301;1008712;1135202;920911;92915;2010438;2052530;5611576;1188167;2001111;1840132;1330311;1733696
"X2005";481336;2828676;1003259;1118082;915539;90894;2004216;2032629;5536112;1178578;1968416;1804596;1307996;1712104
"X2004";469996;2811169;1004469;1110703;912985;88724;2009055;2035565;5475730;1174551;1951716;1776170;1295041;1692624
"X2003";465634;2801029;1004926;1096021;912337;87411;2019479;2041765;5463249;1178595;1939363;1756825;1287675;1667987
"X2002";462509;2797052;1007865;1092446;916003;85280;2032094;2054077;5521277;1180910;1943785;1733959;1282689;1650822
"X2001";452144;2779080;1003391;1077077;912406;83641;2031294;2035449;5534397;1169381;1920378;1697690;1267860;1619591
"X2000";438643;2743810;1000091;1059796;905199;81317;2019788;2013582;5483499;1167063;1897075;1649466;1248039;1571842
"X1999";422177;2660662;972589;1025071;879509;77755;1967357;1954307;5338942;1132516;1844646;1599169;1206917;1506965
"X1998";404485;2600331;949166;993223;859929;75261;1926848;1911184;5179388;1104444;1796302;1554493;1167920;1459156
"X1997";396784;2537354;932481;962288;842526;72290;1890766;1862920;5078830;1082624;1750028;1510868;1130172;1429564
"X1996";402268;2489300;920132;936864;826591;70653;1869810;1836131;5048162;1070625;1711708;1481651;1097789;1409610
"X1995";385872;2471570;917554;920258;828855;70751;1864859;1832461;5048068;1072835;1695538;1472440;1081751;1408045
"X1994";373303;2429944;902272;899478;815162;70282;1844400;1803899;5050061;1068502;1664043;1445549;1062138;1391454
"X1993";361829;2388052;886809;878392;801768;69352;1825542;1770214;5021509;1054363;1634848;1414468;1033673;1372007
"X1992";355618;2405442;893471;871563;806910;69773;1840582;1788530;5069263;1061780;1635884;1407671;1031213;1365913
"X1991";358064;2422028;895111;866374;809275;68448;1838121;1791904;5140678;1060183;1631175;1410767;1026760;1375124
"X1990";353870;2428880;890898;853950;808924;67166;1830682;1781540;5156148;1054050;1617773;1395435;1011179;1372661
"X1989";335232;2395622;879494;840192;797026;66324;1826645;1767996;5112065;1042426;1596021;1368161;991511;1356321
